工作細項清單,時間區間,隸屬前台單元,隸屬後台單元,類型
機構管理-切板,2022/04/28 → 2022/04/29,,https://www.notion.so/45f778efe8b84bf9aeaa59cddf16a661,切板
新增機構-操作流程圖,2022/04/28,https://www.notion.so/b661b9fa1c27405faec5db252d789526,"https://www.notion.so/310659c10f9e465a84937eeaf5e4549d, https://www.notion.so/45f778efe8b84bf9aeaa59cddf16a661",流程圖˙
編輯機構-操作流程圖,2022/04/28,https://www.notion.so/b661b9fa1c27405faec5db252d789526,"https://www.notion.so/2ce5011cf7e043dd80542f06d09e2c75, https://www.notion.so/45f778efe8b84bf9aeaa59cddf16a661",流程圖˙
登入-撰寫測試,2022/04/29 → 2022/05/01,,https://www.notion.so/6fef7370deac49d5a80c300c1849f6e8,測試
單一天文台新增-API串接,2022/04/29 → 2022/04/30,,https://www.notion.so/ea51ef978f614c13bf6678a11748bf75,API串接
天文台管理-API串接,2022/04/29 → 2022/04/30,,https://www.notion.so/459c9ccb0b074af792be24caee9803ff,API串接
單一天文台編輯-API串接,2022/04/29 → 2022/04/30,,https://www.notion.so/260b497d4796407089315d8ac9ea2cb3,API串接
單一天文台編輯-切板,2022/04/29 → 2022/04/30,,https://www.notion.so/260b497d4796407089315d8ac9ea2cb3,切板
單一天文台新增-切板,2022/04/29 → 2022/04/30,,https://www.notion.so/ea51ef978f614c13bf6678a11748bf75,切板
單一觀星編輯-切板,2022/04/29 → 2022/05/03,,https://www.notion.so/83b2cc3c2b7946cca8e2203e612511b8,切板
天文台管理-切板,2022/04/29 → 2022/04/30,,https://www.notion.so/459c9ccb0b074af792be24caee9803ff,切板
新增天文台-操作流程圖,2022/04/29,https://www.notion.so/b661b9fa1c27405faec5db252d789526,"https://www.notion.so/ea51ef978f614c13bf6678a11748bf75, https://www.notion.so/459c9ccb0b074af792be24caee9803ff",流程圖˙
編輯天文台-操作流程圖,2022/04/29,https://www.notion.so/b661b9fa1c27405faec5db252d789526,"https://www.notion.so/260b497d4796407089315d8ac9ea2cb3, https://www.notion.so/459c9ccb0b074af792be24caee9803ff",流程圖˙
封裝成 Docker,2022/05/01 → 2022/05/04,,,
前台頁面-撰寫測試,2022/05/04 → 2022/05/06,"https://www.notion.so/a22e407c027949f6971e60595dfae3aa, https://www.notion.so/8ce1260d672b40c88e61ef9fab5d0b61, https://www.notion.so/d0d82122111142329994e9f9af66e800, https://www.notion.so/2d7ed1f1ab27488db96c0a4cfb412179, https://www.notion.so/6a36479c548e4974b6558d0173c34b91, https://www.notion.so/3b32c9f93a6c43bd9d8c1abc2b5fc2ad, https://www.notion.so/b661b9fa1c27405faec5db252d789526, https://www.notion.so/1928ffc7782444d1a79145a2b66a318d, https://www.notion.so/20435a05ed5c42c3969eba0c33616e28, https://www.notion.so/ed745ad85b5b4dbabb3280a45f9aac1f, https://www.notion.so/517ab5e3c00d43c28fd55458ffa55462, https://www.notion.so/568e5a591f664bf09f4cc98439a66e71, https://www.notion.so/404-f406152fb1544df08d98999eeccb4210",,測試
編輯標語管理-撰寫測試,2022/05/06 → 2022/05/07,https://www.notion.so/8ce1260d672b40c88e61ef9fab5d0b61,https://www.notion.so/92cdb34f12844f13b32b459c079f4c07,測試
新增文章-撰寫測試,2022/05/07 → 2022/05/08,"https://www.notion.so/d0d82122111142329994e9f9af66e800, https://www.notion.so/2d7ed1f1ab27488db96c0a4cfb412179, https://www.notion.so/ed745ad85b5b4dbabb3280a45f9aac1f, https://www.notion.so/517ab5e3c00d43c28fd55458ffa55462","https://www.notion.so/ba80837842d44efdb578341047e5ccd5, https://www.notion.so/90cdbfd9a31d4ff6ae51f8dfe5e41c54",測試
刪除文章-撰寫測試,2022/05/07 → 2022/05/08,"https://www.notion.so/d0d82122111142329994e9f9af66e800, https://www.notion.so/2d7ed1f1ab27488db96c0a4cfb412179, https://www.notion.so/ed745ad85b5b4dbabb3280a45f9aac1f, https://www.notion.so/517ab5e3c00d43c28fd55458ffa55462","https://www.notion.so/ba80837842d44efdb578341047e5ccd5, https://www.notion.so/da1395dd40da4a51b43c84d4cffd872e",測試
